cgn,CG_Subgroup,FCID_Code,FCID_Desc
6,6,600349001,"Soybean, soy milk-babyfood or infant formula"
6,6,600350000,"Soybean, oil"
6,6,600350001,"Soybean, oil-babyfood"
6,6A,601043000,"Bean, snap, succulent"
6,6A,601043001,"Bean, snap, succulent-babyfood"
6,6A,601257000,"Pea, edible podded, succulent"
6,6AB,601349500,"Soybean, vegetable"
6,6B,602031000,"Bean, broad, succulent"
6,6B,602033000,"Bean, cowpea, succulent"
6,6B,602037000,"Bean, lima, succulent"
6,6B,602255000,"Pea, succulent"
6,6B,602255001,"Pea, succulent-babyfood"
6,6B,602259000,"Pea, pigeon, succulent"
6,6C,603030000,"Bean, black, seed"
6,6C,603032000,"Bean, broad, seed"
6,6C,603034000,"Bean, cowpea, seed"
6,6C,603035000,"Bean,  great northern, seed"
6,6C,603036000,"Bean, kidney, seed"
6,6C,603038000,"Bean, lima, seed"
6,6C,603039000,"Bean, mung, seed"
6,6C,603040000,"Bean, navy, seed"
6,6C,603041000,"Bean, pink, seed"
6,6C,603042000,"Bean, pinto, seed"
6,6C,603098000,"Chickpea, seed"
6,6C,603098001,"Chickpea, seed-babyfood"
6,6C,603099000,"Chickpea, flour"
6,6C,603182000,"Guar, seed"
6,6C,603182001,"Guar, seed-babyfood"
6,6C,603203000,"Lentil, seed"
6,6C,603256000,"Pea, dry"
6,6C,603256001,"Pea, dry-babyfood"
6,6C,603258000,"Pea, pigeon, seed"
8,8,801173500,Goji berry
8,8A,801374000,Tomatillo
8,8A,801375000,Tomato
8,8A,801375001,Tomato-babyfood
8,8A,801376000,"Tomato, paste"
8,8A,801376001,"Tomato, paste-babyfood"
8,8A,801377000,"Tomato, puree"
8,8A,801377001,"Tomato, puree-babyfood"
8,8A,801378000,"Tomato, dried"
8,8A,801378001,"Tomato, dried-babyfood"
8,8A,801379000,"Tomato, juice"
8,8A,801380000,Tree Tomato
8,8BC,802148000,Eggplant
8,8BC,802234000,Okra
8,8B,802270000,"Pepper, bell"
8,8B,802270001,"Pepper, bell-babyfood"
8,8B,802271000,"Pepper, bell, dried"
8,8B,802271001,"Pepper, bell, dried-babyfood"
8,8BC,802272000,"Pepper, nonbell"
8,8BC,802272001,"Pepper, nonbell-babyfood"
8,8BC,802273000,"Pepper, nonbell, dried"
9,9A,901075000,Cantaloupe
9,9A,901187000,Honeydew melon
9,9A,901399000,Watermelon
9,9A,901400000,"Watermelon, juice"
9,9B,902021000,Balsam pear
9,9B,902088000,"Chayote, fruit"
9,9B,902102000,Chinese waxgourd
9,9B,902135000,Cucumber
9,9B,902308000,Pumpkin
9,9B,902309000,"Pumpkin, seed"
9,9B,902356000,"Squash, summer"
9,9B,902356001,"Squash, summer-babyfood"
9,9B,902357000,"Squash, winter"
9,9B,902357001,"Squash, winter-babyfood"
10,10A,1001106000,Citron
10,10A,1001107000,Citrus hybrids
10,10A,1001108000,"Citrus, oil"
10,10A,1001240000,Orange
10,10A,1001241000,"Orange, juice"
10,10A,1001241001,"Orange, juice-babyfood"
10,10A,1001242000,"Orange, peel"
10,10A,1001369000,Tangerine
10,10A,1001370000,"Tangerine, juice"
10,10B,1002197000,Kumquat
10,10B,1002199000,Lemon
10,10B,1002200000,"Lemon, juice"
10,10B,1002200001,"Lemon, juice-babyfood"
10,10B,1002201000,"Lemon, peel"
10,10B,1002206000,Lime
10,10B,1002207000,"Lime, juice"
10,10B,1002207001,"Lime, juice-babyfood"
10,10C,1003180000,Grapefruit
